31.914, -29.362, 34.049
30.905, -27.635, 32.461
29.881, -25.917, 30.792
28.852, -24.202, 29.027
27.825, -22.486, 27.147
26.806, -20.765, 25.126
25.799, -19.037, 22.929
24.807, -17.301, 20.497
23.834, -15.553, 17.735
22.881, -13.795, 14.455
21.95, -12.025, 10.166
21.057, -10.283, 0
21.057, -10.283, 0
11.936, 7.516, 0
endData
26.4
92
200
31.968, -9.056, 11.238, 4.31, 62.244, 39.496, 37.696, 52.861
37.696, 52.861, 18.01, 59.767, -23.63, 60.043, -39.624, 52.873
-39.624, 52.873, -65.271, 40.74, -1.569, 10.957, -26.388, -8.898
-26.388, -8.898, -24.182, -41.162, -53.952, -38.65, -35.404, -60.608
-35.404, -60.608, 6.055, -58.835, -13.584, -58.562, 36.059, -59.926
36.059, -59.926, 42.06, -38.105, 32.513, -33.059, 21.057, -10.283
#PATH.JERRYIO-DATA {"appVersion":"0.5.1","format":"LemLib v0.4.x (inch, byte-voltage)","gc":{"robotWidth":12,"robotHeight":12,"robotIsHolonomic":false,"showRobot":false,"uol":2.54,"pointDensity":2,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"VRC 2024 - Over Under","signature":"VRC 2024 - Over Under","origin":{"__type":"built-in"}}},"paths":[{"segments":[{"controls":[{"uid":"ZsmMwWJFhu","x":31.968,"y":-9.05568096313017,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"N4CBFy3Xwu","x":11.23777276147479,"y":4.309631301730628,"lock":false,"visible":true,"__type":"control"},{"uid":"Di7DFh854O","x":62.24416854778028,"y":39.495861550037624,"lock":false,"visible":true,"__type":"control"},{"uid":"IP5kKX1IzM","x":37.6956358164033,"y":52.86117381489842,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"naa6GtVKDZ"},{"controls":[{"uid":"IP5kKX1IzM","x":37.6956358164033,"y":52.86117381489842,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"UMJ74FE29O","x":18.010295431910595,"y":59.76729759727262,"lock":false,"visible":true,"__type":"control"},{"uid":"cuWOCBLohF","x":-23.63013980648699,"y":60.043062069050094,"lock":false,"visible":true,"__type":"control"},{"uid":"XCkvrLun1g","x":-39.6244791695801,"y":52.87318580283594,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"rODiPVeAT8"},{"controls":[{"uid":"XCkvrLun1g","x":-39.6244791695801,"y":52.87318580283594,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"oimd4zPWpI","x":-65.27057504488457,"y":40.73954904462737,"lock":false,"visible":true,"__type":"control"},{"uid":"QJOCUT0HBN","x":-1.5689820642896022,"y":10.956986092660904,"lock":false,"visible":true,"__type":"control"},{"uid":"STr9ueX23d","x":-26.387784524261665,"y":-8.898055875316757,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"r7IE3XoYei"},{"controls":[{"uid":"STr9ueX23d","x":-26.387784524261665,"y":-8.898055875316757,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"YbNjzzGINg","x":-24.181668750041922,"y":-41.162499073280436,"lock":false,"visible":true,"__type":"control"},{"uid":"csNbDGw2rj","x":-53.95221971407073,"y":-38.650300978179075,"lock":false,"visible":true,"__type":"control"},{"uid":"J5QIKF6oZ6","x":-35.404439428141465,"y":-60.60759969902182,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"LoejHgzcfA"},{"controls":[{"uid":"J5QIKF6oZ6","x":-35.404439428141465,"y":-60.60759969902182,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"nAqZfUHp6s","x":6.055304740406317,"y":-58.83465011286681,"lock":false,"visible":true,"__type":"control"},{"uid":"xTJpgLpztU","x":-13.583521444695263,"y":-58.56188863807373,"lock":false,"visible":true,"__type":"control"},{"uid":"lRtiQyaf7S","x":36.05906696764484,"y":-59.925696012039126,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"jhsrJdlwmy"},{"controls":[{"uid":"lRtiQyaf7S","x":36.05906696764484,"y":-59.925696012039126,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"3BQj9Av61W","x":42.05981941309255,"y":-38.104778028592925,"lock":false,"visible":true,"__type":"control"},{"uid":"5ntWbuNDUT","x":32.51316779533484,"y":-33.05869074492099,"lock":false,"visible":true,"__type":"control"},{"uid":"rr5onsxqeG","x":21.05718585402558,"y":-10.283107599699019,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"Q0cPMR5G2U"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":0,"to":92},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":4,"label":"4"},"step":0.01,"from":0.43,"to":4},"maxDecelerationRate":26.4},"name":"Path","uid":"nKOwOwhyJB","lock":false,"visible":true}]}
